title,price,rating,reviews,availability
PlayStation®4 Console – Call of Duty® Modern Warfare II Bundle,,4.5 out of 5 stars,116 ratings,In Stock
"Seagate (STGD2000100) Game Drive for PS4 Systems 2TB External Hard Drive Portable HDD â€“ USB 3.0, Officially Licensed Product",,4.7 out of 5 stars,"29,919 ratings",
$250 PlayStation Store Gift Card [Digital Code],,4.6 out of 5 stars,"253,781 ratings",Available now
"PS4 Controller Charger Dock Station, OIVO 1.8Hrs PS4 Controller Charging Dock, Charging Station Replacement for PlayStation 4 Dualshock 4 Charger",,4.7 out of 5 stars,"39,487 ratings",In Stock
"Wuthur PS4 Controller Wireless 2 Pack, Compatible with PlayStation 4 - Black & White",,4.3 out of 5 stars,186 ratings,In Stock
"FASIGO PS4 Controller 2 Pack, Wireless PS4 Controller for PS4 / Pro/Slim & PC, with 2 USB C Cable - Black",,4.2 out of 5 stars,463 ratings,In Stock
"Wireless Controller Dual Vibration Game Joystick Controller for Ps4 Controller/Slim/Pro,Compatible with PS4 Console",,4.0 out of 5 stars,"2,609 ratings",In Stock
Sony DualShock 4 Wireless Controller - Midnight Blue - PlayStation 4,,4.6 out of 5 stars,"3,487 ratings",In Stock
"Wireless Controller for PS4, Custom Design V2 Gamepad Joystick for PS4 with Non-Slip Grip of Both Sides and 3.5mm Audio Jack! Thumb Caps Included! (Galaxy)",,4.2 out of 5 stars,"3,113 ratings",In Stock
Sony Playstation PS4 1TB Black Console,,4.7 out of 5 stars,"1,555 ratings",Not Available
PlayStation 4 Slim 1TB Console,,4.7 out of 5 stars,"15,739 ratings",Not Available
PlayStation 4 Pro 1TB Console,,4.7 out of 5 stars,"12,776 ratings",Not Available
"Playstation Sony 4, 500GB Slim System [CUH-2215AB01], Black, 3003347",,4.4 out of 5 stars,370 ratings,Not Available
PlayStation 4 Slim 1TB Console,,4.3 out of 5 stars,310 ratings,Not Available
PlayStation 4 Slim 1TB Console - Marvel's Spider-Man Bundle [Discontinued],,4.7 out of 5 stars,"2,820 ratings",Not Available
PlayStation 4 Slim 1TB Limited Edition Console - Call of Duty WWII Bundle [Discontinued],,4.4 out of 5 stars,738 ratings,Not Available
"PDP Phantom Air Dual-Mode Wireless Headset: White - PlayStation 5, PlayStation 4, & Windows 10/11 PC",,Previous page of related Sponsored Products,,In Stock
"Turtle Beach Stealth 700 Gen 3 Wireless Multiplatform Amplified Gaming Headset for PS5, PS4, PC, Mobile – 60mm Drivers, AI Noise-Cancelling Mic, Bluetooth, 80-Hr Battery, Dual Transmitters – Black",,4.2 out of 5 stars,61 ratings,In Stock
"Turtle Beach Atlas Air Wireless Open Back PC Gaming Headset for PC, PS5, PS4, Nintendo Switch, Mobile - 24-bit High-Fidelity Audio, Broadcast Grade Mic, Bluetooth, Floating Memory Foam Earcup - Black",,4.1 out of 5 stars,109 ratings,In Stock
